FirstName,Phone,Notes
John,+1234567890,Follow up next week
Jane,+1987654321,Interested in product demo
Mike,+1122334455,Priority client
Sarah,+1555666777,Schedule callback
David,+1444555666,Send product brochure
Lisa,+1333444555,Demo completed
Tom,+1222333444,Needs pricing information
Anna,+1111222333,Ready to purchase
Chris,+1999888777,Technical questions
Emma,+1888777666,Budget approval pending
Alex,+1777666555,Contract review
Maria,+1666555444,Implementation planning
James,+1555444333,Follow up in 2 weeks
Kelly,+1444333222,Interested in enterprise plan
Robert,+1333222111,Requires customization
Nancy,+1222111000,Pilot project discussion
Paul,+1111000999,Integration questions
Linda,+1000999888,Training requirements
Mark,+1999888777,Support needs assessment
Julia,+1888777555,Deployment timeline
Steven,+1777555333,Budget constraints
Rachel,+1666444222,Technical evaluation
Kevin,+1555333111,Decision maker meeting
Amanda,+1444222000,Contract negotiation
Brian,+1333111999,Implementation support
